epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
68,11171.3,0.89301,2.59812,1.1926,0.75269,0.70404,0.73035,0.57532,1.20854,4.54513,1.48074,0.0003367,0.0003367,0.0003367
69,11347.3,0.88971,2.5778,1.19361,0.80083,0.67624,0.72966,0.57689,1.21436,4.57392,1.49825,0.0003268,0.0003268,0.0003268
70,11510.3,0.88785,2.53593,1.18951,0.78997,0.69528,0.73363,0.57218,1.22103,4.5729,1.49511,0.0003169,0.0003169,0.0003169
71,11673.6,0.89453,2.54648,1.19167,0.80907,0.69063,0.73252,0.57077,1.21752,4.51416,1.48834,0.000307,0.000307,0.000307
72,11837.1,0.89444,2.52546,1.19396,0.79545,0.6972,0.73602,0.57626,1.22107,4.5367,1.48638,0.0002971,0.0002971,0.0002971
73,12000.4,0.8729,2.48824,1.18291,0.80141,0.69867,0.73537,0.57712,1.21387,4.53395,1.48619,0.0002872,0.0002872,0.0002872
74,12163.9,0.88957,2.52642,1.18444,0.78165,0.69207,0.7296,0.57528,1.21365,4.5447,1.4864,0.0002773,0.0002773,0.0002773
75,12327.1,0.87788,2.49186,1.18112,0.75384,0.71114,0.72916,0.57055,1.22531,4.53756,1.50128,0.0002674,0.0002674,0.0002674
76,12490.6,0.87852,2.47438,1.17936,0.78596,0.6963,0.73094,0.57364,1.21431,4.51182,1.4909,0.0002575,0.0002575,0.0002575
77,12653,0.88322,2.46053,1.1807,0.78853,0.69328,0.73234,0.57165,1.22321,4.48089,1.50076,0.0002476,0.0002476,0.0002476
78,12816.2,0.87554,2.42485,1.17554,0.78408,0.69215,0.72942,0.57634,1.2157,4.54809,1.48843,0.0002377,0.0002377,0.0002377
79,12979.6,0.87174,2.40768,1.17241,0.77259,0.69796,0.73119,0.57334,1.21981,4.50335,1.49978,0.0002278,0.0002278,0.0002278
80,13142.4,0.87537,2.39218,1.17255,0.77277,0.70677,0.73681,0.57781,1.22376,4.47684,1.49723,0.0002179,0.0002179,0.0002179
81,13306,0.88079,2.40944,1.17555,0.77413,0.70457,0.73287,0.57437,1.23037,4.49852,1.5102,0.000208,0.000208,0.000208
